"Qty","Value","Part Num","Package","Parts"
"1","","609-2845-ND","MA03-2","SV1"
"1","","609-3272-ND","1X06","JP1"
"2","","609-3530-ND","ML08","ENC, LCD"
"1","","A32299-ND","VG64-CUTOUT","J1"
"1","1M","BC2834CT-ND","R_1206","R8"
"1","1N50C","FQN1N50CTACT-ND","TO237_MODIFIED","Q1"
"2","1k","P1.00KCCT-ND","R_0805","R25, R26"
"1","2.2nF","1276-3152-1-ND","C_MLCC_0603","C23"
"1","2.7k","P2.70KCCT-ND","R_0805","R28"
"2","3k","P3.00KHCT-ND","R_0603","R27, R33"
"1","5.6R","P5.6AJCT-ND","R_0603","R5"
"2","8.2k","P8.20KCCT-ND","R_0805","R22, R24"
"12","10k","P10.0KHCT-ND","R_0603","R3, R4, R7, R11, R35, R36, R39, R85, R100, REXT, RF_0A, RF_0B"
"1","10nF","445-2291-1-ND","C_MLCC_1206","C44"
"1","10pF","399-7166-1-ND","C_MLCC_1206","C49"
"19","10uF","445-14417-1-ND","C_MLCC_0805","C1, C5, C7, C10, C15, C17, C20, C30, C31, C32, C33, C36, C37, C41, C50, C51, C52, C61, C62"
"1","15k","P15.0KCCT-ND","R_0805","R30"
"2","20.5k","P20.5KHCT-ND","R_0603","R23, R37"
"1","27.4k","P27.4KHCT-ND","R_0603","R9"
"2","28.7k","P28.7KHCT-ND","R_0603","R21, R31"
"3","49.9R","P49.9CCT-ND","R_0805","R20, R34, R38"
"1","74AHCT1G02","568-9104-1-ND","SOT23-5","U8"
"1","100k","P100KCCT-ND","R_0805","R29"
"27","100nF","1276-1936-1-ND","C_MLCC_0603","C2, C3, C4, C6, C8, C16, C18, C19, C21, C24, C35, C38, C39, C40, C42, C47, C48, C54, C55, C56, C57, C58, C59, C60, C63, C65, C66"
"1","100pF","445-9112-1-ND","C_MLCC_0805","C34"
"1","200k","P200KHCT-ND","R_0603","R1"
"2","220uF","PCE3955CT-ND","PANASONIC_F","C25, C26"
"1","470pF","1276-1094-1-ND","C_MLCC_0603","C9"
"8","499R","P499CCT-ND","R_0805","R6, R12, R13, R14, R15, R16, R17, R18"
"1","499k","P499KHCT-ND","R_1206","R10"
"10","1000k Ferrite","445-1548-1-ND","L_FERRITE_0603","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10"
"1","AD5663R","AD5663RBRMZ-5-ND","MSOP10","DAC"
"1","AD8421","AD8421BRZ-ND","SOIC-8","U7"
"1","ATB3225","445-8636-1-ND","ATB_TRANSFORMER","T1"
"1","AZ23C15-FDICT-ND","AZ23C15-FDICT-ND","SOT-23","D2"
"3","BNC-H","A32260-ND","BNC90","HV_OUT, MOD_IN, MON"
"4","DNP","*","C_MLCC_1206","C28, C45, C46, C64"
"1","DNP","*","1X03","JP5"
"1","DNP","P1.00MFCT-ND","R_1206","R40"
"1","DRV2700","296-41118-1-ND","S-PVQFN-N20","U1"
"1","HV 1M","BC2834CT-ND","R_1206","R19"
"1","HV 1nF","445-2288-1-ND","C_MLCC_1206","C29"
"1","HV 1uF","445-7998-1-ND","C_MLCC_2220","C14"
"1","HV 10nF","445-2291-1-ND","C_MLCC_1206","C43"
"1","HV 10pF","399-7166-1-ND","C_MLCC_1206","C27"
"1","HV 22pF","709-1289-1-ND","C_MLCC_1206","C11"
"4","HV 100nF","445-14941-1-ND","C_MLCC_1210","C12, C13, C22, C53"
"2","HV 499R","P499FCT-ND","R_1206","R2, R32"
"1","HV 499k","BC2832CT-ND","R_1206","RI_0"
"1","HV MOS","497-3523-1-ND","SOT223","T2"
"2","LM7171","LM7171BIMX/NOPBCT-ND","SO08","U3, U4"
"1","MEGA8-AI","ATMEGA8-16AU","TQFP32-08","IC5"
"1","MIC5205-3V","576-1258-1-ND","SOT23-5L","IC6"
"1","MIC5209","576-1277-ND","TO263-5","U2"
"1","MMBD3004S-7-F","MMBD3004S-FDICT-ND","SOT23","D1"
"1","NT2006","568-6661-1-ND","HVQFN16","U5"
"1","OPA2172","296-38683-5-ND","SO08","U6"
"1","PINHD-3X8","609-3273-ND","3X08","J2"
"1","RF_36103505","732-2495-ND","36103505-SHIELD","U$1"
"5","Schottky","568-7397-1-ND","SOD523","D3, D4, D5, D6, D7"
"1","UMC","A118077CT-ND","UMC","X1"
